index,speaker,file,rec_date,ipu,prompt,word,time,sentence_ons,sentence_off,word_ons,word_off,v1_ons,c2_ons,v2_ons,c1_rel,c2_rel,voicing_start,voicing_end,voicing_duration,voiced_points,GONS,max,NOFF,NONS,peak1,peak2,c1_duration,c1_clos_duration,c1_vot,c1_rvoff,v1_duration,c2_duration,c2_clos_duration,v2_duration,v_v,word_duration,sentence_duration,language,sex,glottocode,item,ipa,c1,c1_phonation,vowel,anteropost,height,c2,c2_phonation,c2_place,speech_rate,speech_rate_c
1,it01,it01-001,29/11/2016 15:10:47,ipu_1,Dico pugu lentamente,pugu,0.990023,0.990023,2.624943,1.350023,1.760023,1.48980182115703,1.58503902278578,1.670023,1.44353339702663,1.64339914973916,1.48841125441526,2.00101746762061,512.606213205348,5,1.488,1.6255,NA,NA,NA,NA,139.778821157034,93.5103970266342,44.8778573886237,141.505625759146,95.2372016287464,84.98397721422,58.3601269533778,89.9999999999999,180.221178842966,410,1.63492,Italian,m,ital1282,20,pugu,p,voiceless,u,back,high,g,voiced,velar,4.89320578376924,-0.559375313037306
2,it01,it01-002,29/11/2016 15:10:52,ipu_2,Dico pada lentamente,pada,3.624943,0.501859099773243,2.09687109977324,0.841859099773243,1.20185909977324,0.937709733603017,1.07667817664642,1.15185909977324,0.917498181831361,1.14456159137821,0.916830234437341,1.48103345718315,564.203222745805,5,0.981,1.1115,1.116,1.102,1.0485,1.1485,95.850633829774,75.6390820581183,-0.667947394019652,159.179994815054,138.968443043399,75.1809231268279,67.8834147317913,49.9999999999998,214.149366170227,360,1.595012,Italian,m,ital1282,2,pada,p,voiceless,a,central,low,d,voiced,coronal,5.0156362459969,-0.436944850809645
3,it01,it01-003,29/11/2016 15:10:57,ipu_3,Dico poco lentamente,poco,6.130023,0.696553612244898,2.3564626122449,1.0165536122449,1.4165536122449,1.1365536122449,1.26348586764855,1.3665536122449,1.11695894113559,1.31713759807754,1.13560772428808,1.27273702717012,137.129302882042,0,1.156,1.3145,1.322,1.302,1.2335,1.3775,120,100.405328890691,18.6487831524913,146.526926512962,126.932255403653,103.067744596348,53.6517304289896,49.9999999999998,230,400,1.659909,Italian,m,ital1282,11,poko,p,voiceless,o,back,mid,k,voiceless,velar,4.81954131220447,-0.633039784602077
4,it01,it01-004,29/11/2016 15:11:03,ipu_4,Dico pata lentamente,pata,8.82,0.623356009070294,2.21328800907029,0.943356009070294,1.34335600907029,1.03585712578182,1.16335600907029,1.26335600907029,1.02457509048874,1.2453344100272,1.03693843084054,1.18524279558403,148.304364743494,2,1.079,1.2045,1.21,1.193,1.1345,1.2465,92.5011167115208,81.2190814184408,12.3633403518055,138.780918581558,127.498883288478,100.000000000001,81.9784009569098,79.9999999999983,227.498883288479,399.999999999999,1.589932,Italian,m,ital1282,1,pata,p,voiceless,a,central,low,t,voiceless,coronal,5.03166173144512,-0.420919365361421
5,it01,it01-005,29/11/2016 15:11:08,ipu_5,Dico boco lentamente,boco,11.52,0.664671201814057,2.24462620181406,0.974671201814058,1.36467120181406,1.07467120181406,1.20700430469281,1.31467120181406,NA,1.26862754215342,0.940111819643812,1.2294178264577,289.306006813888,2,NA,NA,NA,NA,NA,NA,99.9999999999996,NA,NA,NA,132.333102878752,107.666897121248,61.6232374606067,50.0000000000007,240,390.000000000001,1.579955,Italian,m,ital1282,15,boko,b,voiced,o,back,mid,k,voiceless,velar,5.06343535100683,-0.389145745799709
6,it01,it01-006,29/11/2016 15:11:14,ipu_6,Dico podo lentamente,podo,14.334966,0.646802734693877,2.22680273469388,0.976802734693877,1.35680273469388,1.08155406080407,1.20680273469388,1.27680273469388,1.05818299238558,1.25589054959613,1.07613243924519,1.57080414318572,494.671703940534,5,1.136,1.2445,1.249,1.236,1.1915,1.2805,104.751326110193,81.3802576916984,17.9494468596144,148.619742308302,125.248673889807,70.0000000000003,49.0878149022542,80.0000000000001,195.248673889807,380.000000000001,1.58,Italian,m,ital1282,10,podo,p,voiceless,o,back,mid,d,voiced,coronal,5.06329113924051,-0.389289957566036
7,it01,it01-007,29/11/2016 15:11:19,ipu_7,Dico boto lentamente,boto,17.214966,0.740408176870748,2.32539717687075,1.02040817687075,1.41040817687075,1.1273902091026,1.26149926420489,1.37040817687075,NA,1.33802678134019,0.983576892576149,1.27409596641639,290.519073840245,1,NA,NA,NA,NA,NA,NA,106.982032231848,NA,NA,NA,134.109055102289,108.908912665861,76.5275171353039,39.9999999999992,243.01796776815,389.999999999997,1.584989,Italian,m,ital1282,13,boto,b,voiced,o,back,mid,t,voiceless,coronal,5.04735364094009,-0.405227455866448
8,it01,it01-008,29/11/2016 15:11:25,ipu_8,Dico paca lentamente,paca,19.704989,0.502086505668935,2.08702950566893,0.832086505668933,1.19208650566893,0.921843047057955,1.04040322620635,1.13208650566893,0.910457952315749,1.10092043981407,0.923249094458588,1.0407978156731,117.548721214516,0,0.942,1.0835,NA,1.071,1.0145,1.0145,89.756541389022,78.3714466468162,12.7911421428393,129.945273890606,118.5601791484,91.683279462579,60.5172136077172,59.9999999999987,210.243458610979,359.999999999999,1.584943,Italian,m,ital1282,3,paka,p,voiceless,a,central,low,k,voiceless,velar,5.04750013091954,-0.405080965887004
9,it01,it01-009,29/11/2016 15:11:30,ipu_9,Dico bodo lentamente,bodo,22.324989,0.556281517006799,2.0762355170068,0.866281517006801,1.2262815170068,0.964753336158413,1.09497517227223,1.1562815170068,NA,NA,0.825569857465074,1.15067503225925,325.105174794177,5,NA,NA,NA,NA,NA,NA,98.4718191516123,NA,NA,NA,130.221836113819,61.3063447345681,NA,70.0000000000003,191.528180848387,359.999999999999,1.519954,Italian,m,ital1282,14,bodo,b,voiced,o,back,mid,d,voiced,coronal,5.26331717933568,-0.189263917470859
10,it01,it01-010,29/11/2016 15:11:35,ipu_10,Dico pucu lentamente,pucu,24.834966,0.535283460317459,2.15024946031746,0.845283460317457,1.27528346031746,0.982527162332627,1.08165124653867,1.20528346031746,0.939248168059923,1.14587546588353,0.987539686509789,1.09409439629392,106.554709784134,1,1.043,1.1245,1.132,1.117,1.0785,1.175,137.243702015169,93.9647077424652,48.291518449866,142.403078478743,99.1240842060392,123.632213778791,64.2242193448652,70.0000000000003,222.75629798483,430,1.614966,Italian,m,ital1282,19,puku,p,voiceless,u,back,high,k,voiceless,velar,4.95366465919407,-0.498916437612476
