speaker,seconds,rec.date,prompt,label,TT.displacement.sm,TT.velocity,TT.velocity.abs,TD.displacement.sm,TD.velocity,TD.velocity.abs,fan,X,Y,word,language,item,ipa,c1,c1phonation,vowel,anteropost,height,c2,c2phonation,c2place
it05,0,11/06/2017 16:47:37,Dico pata lentamente,max_TT,65.2863,16.5138,16.4833,62.9114,17.6554,16.6292,1,31.2981,10.6696,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it05,0,11/06/2017 16:48:39,Dico paca lentamente,max_TD,64.4272,23.9906,23.8247,69.8976,-3.1757,2.0447,1,29.1055,3.7525,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it05,0,11/06/2017 16:49:56,Dico pata lentamente,max_TT,65.2082,21.6408,21.6217,62.9914,5.3892,4.2114,1,30.8144,9.1436,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it05,0,11/06/2017 16:50:18,Dico paca lentamente,max_TD,64.3374,23.6435,23.386,70.5446,-2.9087,1.5125,1,29.3909,4.6528,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it05,0,11/06/2017 16:51:37,Dico paca lentamente,max_TD,63.6524,24.9634,24.3654,70.9771,-2.7447,1.6422,1,29.1099,3.7664,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it05,0,11/06/2017 16:53:04,Dico paca lentamente,max_TD,62.3073,26.1984,26.1497,69.7491,-2.3289,1.4229,1,29.0299,3.514,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it05,0,11/06/2017 16:54:25,Dico paca lentamente,max_TD,61.3806,24.4198,24.1795,71.3485,-3.6335,2.3575,1,29.3076,4.39,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it05,0,11/06/2017 16:55:46,Dico paca lentamente,max_TD,63.0153,22.3103,22.357,70.4399,-3.9425,2.5101,1,29.2316,4.1501,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it05,0,11/06/2017 16:47:37,Dico pata lentamente,max_TT,65.2863,16.5138,16.4833,62.9114,17.6554,16.6292,2,29.237,10.8586,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it05,0,11/06/2017 16:48:39,Dico paca lentamente,max_TD,64.4272,23.9906,23.8247,69.8976,-3.1757,2.0447,2,27.551,4.9199,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it05,0,11/06/2017 16:49:56,Dico pata lentamente,max_TT,65.2082,21.6408,21.6217,62.9914,5.3892,4.2114,2,28.9123,9.715,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it05,0,11/06/2017 16:50:18,Dico paca lentamente,max_TD,64.3374,23.6435,23.386,70.5446,-2.9087,1.5125,2,27.7125,5.4889,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
